epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.3759240469320113,0.5206241646203102,0.9406442626208641,0.6818642350557245,0.0009986128001799076
2,0.46434261434905505,0.8549314600105685,0.3640920931158216,0.8885511651469098,0.000994459753267812
3,0.22478355979580197,0.9315532622548258,0.27225086930714615,0.92806484295846,0.0009875664641789542
4,0.13549319206223165,0.958969258027416,0.23320175228185627,0.939209726443769,0.000977975432332819
5,0.09882352609701617,0.9691647757296944,0.1628652736032712,0.9574468085106383,0.0009657457896300788
6,0.07204947179596005,0.9774330919150788,0.30309791448675877,0.9060283687943262,0.0009509529358847653
7,0.05950522689041498,0.981007739889963,0.14966858910036243,0.9668186423505573,0.0009336880739593414
8,0.05544258335156031,0.9826551863479531,0.16007586441492508,0.9617527862208713,0.0009140576474687262
9,0.03954310607981058,0.987255602872152,0.17631857853718744,0.9564336372847011,0.0008921826845200138
10,0.03403882283809684,0.989338223866215,0.15643229791158555,0.9670719351570415,0.0008681980515339462
11,0.032486147003763684,0.9895868950296851,0.1789394969002098,0.9685916919959473,0.0008422516217485825
12,0.02727493848975299,0.9914519287557116,0.21344035824195468,0.9607396149949341,0.0008145033635316127
13,0.026578599968545596,0.9916384321283144,0.15172586216157366,0.9784701114488349,0.0007851243541221768
14,0.021917944606821445,0.9931615430045694,0.14462258312589343,0.9741641337386018,0.0007542957248827959
15,0.019489176830232324,0.993627801436076,0.18245143471483413,0.9696048632218845,0.0007222075445642904
16,0.017416403811612677,0.994187311553884,0.12029537327669637,0.9812563323201621,0.0006890576474687263
17,0.016768287571355244,0.994311647135619,0.1063024948553721,0.9761904761904762,0.0006550504137351575
18,0.013789788608976766,0.995150912312331,0.13371919167410332,0.9766970618034447,0.0006203955092681039
19,0.010691416099097135,0.9965807715022846,0.12776362530899749,0.9792299898682877,0.0005853065930775302
20,0.012485382212543918,0.9962077647570794,0.14854652895952486,0.9779635258358662,0.0005499999999999999
21,0.0095032427650455,0.9970159460383575,0.15230186883473054,0.979483282674772,0.0005146934069224698
22,0.006826859837938153,0.9978552112150695,0.12360401720707068,0.9865754812563323,0.00047960449073189616
23,0.007526514563003254,0.9976065400515992,0.1424665886510794,0.9761904761904762,0.00044494958626484254
24,0.005033790204301175,0.9986323086009139,0.12805413605729102,0.9807497467071935,0.0004109423525312736
25,0.007237757807086891,0.9974511205744304,0.14600607232806576,0.9799898682877406,0.00037779245543570955
26,0.00311686691612705,0.999160734823288,0.1358172503056403,0.9815096251266464,0.0003457042751172039
27,0.002812113445041358,0.9992229026141556,0.17656645661098702,0.9802431610942249,0.00031487564587782295
28,0.0031222246747135383,0.9992229026141556,0.12203621899937682,0.9825227963525835,0.0002854966364683871
29,0.0012421069919727947,0.9996580771502285,0.1275484718528928,0.9799898682877406,0.0002577483782514174
30,0.0018120538591284163,0.9995959093593609,0.10894477585895661,0.9840425531914894,0.00023180194846605365
