epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.655217938399725,0.47328009828009826,1.18505602478981,0.64125,0.0009986128001799076
2,0.6228466367106473,0.8171068796068796,1.7858328330516815,0.43625,0.000994459753267812
3,0.32711317886298646,0.9074785012285013,0.2713045439124107,0.91375,0.0009875664641789542
4,0.21461510499001135,0.9378839066339066,0.2992435679584742,0.89375,0.000977975432332819
5,0.14439626806930475,0.9603808353808354,0.2832988030882552,0.89625,0.0009657457896300788
6,0.10672549753282815,0.9709766584766585,0.17216357857454567,0.935625,0.0009509529358847653
7,0.08647174980601237,0.9772727272727273,0.08822964669205248,0.975625,0.0009336880739593414
8,0.0762203242538236,0.9775798525798526,0.06671272398205474,0.979375,0.0009140576474687262
9,0.06104419759705809,0.9828777641277642,0.09074170028790832,0.97375,0.0008921826845200138
10,0.054281617025101064,0.98379914004914,0.2323740260163322,0.951875,0.0008681980515339462
11,0.047721672438185765,0.9870239557739557,0.12716509994934314,0.96625,0.0008422516217485825
12,0.03691844252242503,0.9884060196560197,0.08696598262933548,0.973125,0.0008145033635316127
13,0.04414865814712292,0.9874078624078624,0.08142434857785702,0.976875,0.0007851243541221768
14,0.03359988183744197,0.9904791154791155,0.0627790364692919,0.98,0.0007542957248827959
15,0.03412600282890864,0.9901719901719902,0.09570735215995228,0.97875,0.0007222075445642904
16,0.022503777597607535,0.9935503685503686,0.040765958999400026,0.98875,0.0006890576474687263
17,0.02464818295734392,0.9919379606879607,0.04392656913492829,0.99,0.0006550504137351575
18,0.016061853722689777,0.995546683046683,0.06928704179328633,0.980625,0.0006203955092681039
19,0.02442167260963241,0.9929361179361179,0.11463159811653895,0.966875,0.0005853065930775302
20,0.012998096443797376,0.996698402948403,0.056331963132251986,0.98375,0.0005499999999999999
21,0.012298981594041915,0.9973126535626535,0.06442573969623482,0.9825,0.0005146934069224698
22,0.012327888603695481,0.9966216216216216,0.06319815842012759,0.9875,0.00047960449073189616
23,0.009912786522911088,0.9969287469287469,0.11840961191219321,0.970625,0.00044494958626484254
24,0.011528065364924546,0.996468058968059,0.06197626245397259,0.984375,0.0004109423525312736
25,0.010192177628915807,0.9971590909090909,0.05780351891211467,0.985625,0.00037779245543570955
